ID,ln(Alanine),Arginine,Asparagine,Aspartic_acid,ln(Glutamic_acid),ln(Glutamine),Glycine,-1/Isoleucine,Leucine,ln(Lysine),Phenylalanine,ln(Serine),Threonine,ln(Tyrosine),Area,Length,Width,Diameter,ln(KHI),Weight,-1/(500-HFN)
1,-0.386665098,0.734060717,1.666086118,1.634289296,0.046225765,-2.113083988,0.096893771,-13.35480679,0.14391577,-1.520973004,0.137485488,-1.930298722,0.21841163,-0.816289355,19.3,6.7,3.7,3.36214475,4.166808859,32.69129663,-0.008130081
2,-0.307939414,0.832315012,1.05725977,2.575197935,0.140042198,-2.324871889,0.280067827,-11.34765731,0.155775672,-1.486244937,0.139751892,-1.739098173,0.146719665,-0.773661892,20.3,7,3.733333333,3.235492325,4.190237493,32.29583114,-0.005319149
3,0.116774917,0.760501229,2.992939497,,0.794330435,-1.009631722,0.317589889,-7.345465599,0.18858652,-1.426951523,0.205310523,-1.173679806,0.13199259,-0.663440712,20.53333333,6.833333333,3.8,3.295582695,4.223937852,32.72019583,-0.006472492
4,-0.054169783,0.967955928,2.808571535,2.448963412,0.575150666,-1.921408005,0.315143171,-10.79824166,0.192439689,-1.371147319,0.220792601,-1.454304125,0.11043125,-0.942129198,18.33333333,6.7,3.466666667,2.88660999,4.366650579,26.49161644,-0.008888889
5,-0.123783774,0.919148047,2.654607403,2.407836043,0.447581659,-1.964441547,0.285320918,-10.17731312,0.187891821,-1.399283925,0.209432168,-1.489228104,0.103897197,-0.776024851,19.6,6.933333333,3.566666667,3.140190926,4.232882519,30.03103135,-0.00729927
6,-0.200683668,0.930137838,2.388735772,2.763398933,0.610630462,-1.616616124,0.280812866,-7.411798321,0.184007467,-1.50632388,0.266280089,-1.375190379,0.118190697,-0.918443603,19.5,6.666666667,3.733333333,3.283783079,4.104387504,32.24715853,-0.006116208
7,-0.251565939,0.711193606,1.713708158,2.769339027,0.43164287,-1.139481609,0.275685247,-6.551949543,0.171055722,-1.480728894,0.194051508,-1.459694417,0.130415735,-0.941615473,21.9,7.033333333,3.966666667,3.554123038,4.016382209,38.259753,-0.005813953
8,-0.278076314,0.6872706,1.323636138,3.339668995,0.22553085,-1.860023475,0.259105336,-10.23095166,0.179541366,-1.429232034,0.204358069,-1.60126643,0.105629014,-0.811323412,18.23333333,6.633333333,3.533333333,3.002107018,4.196114012,27.79665211,-0.005602241
9,-0.477172591,0.55362962,0.937541167,2.348518589,0.087334402,-2.299892282,0.238182501,-14.92013862,0.123878099,-1.575860738,0.161002343,-1.803010265,0.025479047,-1.046392672,18.66666667,6.833333333,3.466666667,3.067045904,4.035313287,29.50019517,-0.006079027
10,-0.365143847,0.777828424,2.325162972,2.341703226,0.478672289,-1.310934709,0.262408336,-9.285353165,0.174360435,-1.492586844,0.274590695,-1.665354932,0.098970009,-0.731705028,19.8,6.833333333,3.666666667,3.230567153,4.135242284,31.8684244,-0.009259259
11,-0.36433872,0.722224812,2.074763735,2.469397246,0.454059048,-1.413325299,0.264337291,-8.270159446,0.182131139,-1.481883334,0.260364078,-1.481843676,0.088831803,-0.753945235,20.56666667,6.866666667,3.833333333,3.47171164,4.169998756,36.08165148,-0.008888889
